aq	安庆
baoji	宝鸡
baotou	包头
bd	保定
bh	北海
bj	北京
bz	巴中
cc	长春
cd	成都
cf	赤峰
changde	常德
changshu	常熟
changzhou	常州
chengde	承德
cm	澄迈
cq	重庆
cs	长沙
cz	滁州
dali	大理
danyang	丹阳
dazhou	达州
dd	丹东
dg	东莞
dl	大连
dy	德阳
ez	鄂州
fcg	防城港
fs	佛山
fushun	抚顺
fy	阜阳
fz	福州
ganzhou	赣州
gl	桂林
guangyuan	广元
gy	贵阳
gz	广州
ha	淮安
haimen	海门
hanzhong	汉中
hd	邯郸
heze	菏泽
hf	合肥
hg	黄冈
hhht	呼和浩特
hk	海口
hrb	哈尔滨
huangshi	黄石
hui	惠州
huzhou	湖州
hy	衡阳
hz	杭州
jh	金华
jian	吉安
jiangmen	江门
jining	济宁
jiujiang	九江
jl	吉林
jn	济南
jr	句容
jx	嘉兴
jy	江阴
kf	开封
km	昆明
ks	昆山
la	六安
lf	廊坊
liangshan	凉山
linyi	临沂
liuzhou	柳州
ls	陵水
luoyang	洛阳
lz	兰州
mas	马鞍山
mianyang	绵阳
nanchong	南充
nb	宁波
nc	南昌
news	房产资讯
nj	南京
nn	南宁
nt	南通
pds	平顶山
py	濮阳
pzh	攀枝花
qd	青岛
quanzhou	泉州
quzhou	衢州
qy	清远
san	三亚
sh	上海
sjz	石家庄
sn	遂宁
sr	上饶
su	苏州
sx	绍兴
sy	沈阳
sz	深圳
ta	泰安
taicang	太仓
taizhou	台州
tianshui	天水
tj	天津
tongliao	通辽
ts	唐山
ty	太原
weihai	威海
wf	潍坊
wh	武汉
wlmq	乌鲁木齐
wn	万宁
wuhu	芜湖
wx	无锡
wz	温州
xa	西安
xc	许昌
xiangtan	湘潭
xianyang	咸阳
xinxiang	新乡
xm	厦门
xsbn	西双版纳
xx	湘西
xy	襄阳
xz	徐州
yaan	雅安
yc	盐城
yibin	宜宾
yichang	宜昌
yinchuan	银川
yt	烟台
yuncheng	运城
yw	义乌
yy	岳阳
yz	扬州
zb	淄博
zh	珠海
zhangzhou	漳州
zhanjiang	湛江
zhuozhou	涿州
zhuzhou	株洲
ziyang	资阳
zj	镇江
zjk	张家口
zk	周口
zmd	驻马店
zs	中山
zz	郑州
